"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1981-04-11","Zimbabwe","Zambia","0","1","African Cup of Nations qualification","Salisbury","Zimbabwe","FALSE"
"1981-04-12","DR Congo","Cameroon","1","0","FIFA World Cup qualification","Kinshasa","Zaïre","FALSE"
"1981-04-12","Ethiopia","Kenya","0","0","Friendly","Addis Ababa","Ethiopia","FALSE"
"1981-04-12","Guinea","Nigeria","1","1","FIFA World Cup qualification","Conakry","Guinea","FALSE"
"1981-04-12","Tunisia","Senegal","1","0","African Cup of Nations qualification","Tunis","Tunisia","FALSE"
"1981-04-14","Togo","Congo","2","1","Friendly","Lomé","Togo","FALSE"
"1981-04-15","Cyprus","Greece","0","1","Friendly","Nicosia","Cyprus","FALSE"
"1981-04-15","Denmark","Romania","2","1","Friendly","Copenhagen","Denmark","FALSE"
"1981-04-15","Portugal","Bulgaria","1","1","Friendly","Porto","Portugal","FALSE"
"1981-04-15","Spain","Hungary","0","3","Friendly","Valencia","Spain","FALSE"
"1981-04-15","Turkey","Czechoslovakia","0","3","FIFA World Cup qualification","Istanbul","Turkey","FALSE"
"1981-04-15","Nigeria","Guinea","1","0","FIFA World Cup qualification","Lagos","Nigeria","FALSE"
"1981-04-17","Malaysia","Singapore","1","2","Friendly","Kuala Lumpur","Malaysia","FALSE"
"1981-04-18","Botswana","Malawi","2","5","Friendly","Gwelo","Zimbabwe","TRUE"
"1981-04-18","Egypt","Kenya","2","0","African Cup of Nations qualification","Cairo","Egypt","FALSE"
"1981-04-18","Lesotho","Mozambique","0","2","Friendly","Umtali","Zimbabwe","TRUE"
"1981-04-18","Eswatini","Zambia","1","6","Friendly","Bulawayo","Zimbabwe","TRUE"
"1981-04-19","Chile","Peru","3","0","Friendly","Santiago","Chile","FALSE"
"1981-04-19","Ethiopia","Sudan","1","1","Friendly","Addis Ababa","Ethiopia","FALSE"
"1981-04-19","Italy","German DR","0","0","Friendly","Udine","Italy","FALSE"
"1981-04-19","Malawi","Zambia","2","1","Friendly","Salisbury","Zimbabwe","TRUE"
"1981-04-19","Mali","Algeria","3","0","African Cup of Nations qualification","Bamako","Mali","FALSE"
"1981-04-19","Mozambique","DR Congo","3","3","African Cup of Nations qualification","Maputo","Mozambique","FALSE"
"1981-04-19","Togo","Cameroon","2","2","African Cup of Nations qualification","Lomé","Togo","FALSE"
"1981-04-20","Zimbabwe","Malawi","4","0","Friendly","Bulawayo","Zimbabwe","FALSE"
"1981-04-21","Ethiopia","Sudan","2","0","Friendly","Addis Ababa","Ethiopia","FALSE"
"1981-04-21","South Korea","Malaysia","2","1","FIFA World Cup qualification","Kuwait City","Kuwait","TRUE"
"1981-04-22","Kuwait","Thailand","6","0","FIFA World Cup qualification","Kuwait City","Kuwait","FALSE"
"1981-04-24","South Korea","Thailand","5","1","FIFA World Cup qualification","Kuwait City","Kuwait","TRUE"
"1981-04-25","Kuwait","Malaysia","4","0","FIFA World Cup qualification","Kuwait City","Kuwait","FALSE"
"1981-04-25","New Zealand","Australia","3","3","FIFA World Cup qualification","Auckland","New Zealand","FALSE"
"1981-04-25","Zambia","Zimbabwe","2","0","African Cup of Nations qualification","Lusaka","Zambia","FALSE"
"1981-04-26","Cameroon","DR Congo","6","1","FIFA World Cup qualification","Douala","Cameroon","FALSE"
"1981-04-26","Congo","Ghana","0","1","African Cup of Nations qualification","Brazzaville","Congo","FALSE"
"1981-04-26","Ethiopia","Rwanda","1","0","African Cup of Nations qualification","Addis Ababa","Ethiopia","FALSE"
"1981-04-26","Morocco","Egypt","1","0","FIFA World Cup qualification","Casablanca","Morocco","FALSE"
"1981-04-26","Senegal","Tunisia","0","0","African Cup of Nations qualification","Dakar","Senegal","FALSE"
"1981-04-27","Malaysia","Thailand","2","2","FIFA World Cup qualification","Kuwait City","Kuwait","TRUE"
"1981-04-28","Scotland","Israel","3","1","FIFA World Cup qualification","Glasgow","Scotland","FALSE"
"1981-04-28","Switzerland","Hungary","2","2","FIFA World Cup qualification","Lucerne","Switzerland","FALSE"
"1981-04-29","Bulgaria","Norway","1","0","Friendly","Pleven","Bulgaria","FALSE"
"1981-04-29","Chile","Uruguay","1","2","Copa Juan Pinto Durán","Santiago","Chile","FALSE"
"1981-04-29","Cyprus","Netherlands","0","1","FIFA World Cup qualification","Nicosia","Cyprus","FALSE"
"1981-04-29","England","Romania","0","0","FIFA World Cup qualification","London","England","FALSE"
"1981-04-29","France","Belgium","3","2","FIFA World Cup qualification","Paris","France","FALSE"
"1981-04-29","Germany","Austria","2","0","FIFA World Cup qualification","Hamburg","Germany","FALSE"
"1981-04-29","Republic of Ireland","Czechoslovakia","3","1","Friendly","Dublin","Republic of Ireland","FALSE"
"1981-04-29","Kuwait","South Korea","2","0","FIFA World Cup qualification","Kuwait City","Kuwait","FALSE"
"1981-04-29","Northern Ireland","Portugal","1","0","FIFA World Cup qualification","Belfast","Northern Ireland","FALSE"
"1981-04-29","Yugoslavia","Greece","5","1","FIFA World Cup qualification","Split","Yugoslavia","FALSE"
"1981-05-01","Algeria","Niger","4","0","FIFA World Cup qualification","Constantine","Algeria","FALSE"
"1981-05-01","Luxembourg","Denmark","1","2","FIFA World Cup qualification","Luxembourg","Luxembourg","FALSE"
"1981-05-02","Poland","German DR","1","0","FIFA World Cup qualification","Chorzów","Poland","FALSE"
"1981-05-03","Fiji","New Zealand","0","4","FIFA World Cup qualification","Suva","Fiji","FALSE"
