"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"2005-06-19","Greece","Japan","0","1","Confederations Cup","Frankfurt am Main","Germany","TRUE"
"2005-06-19","Ivory Coast","Egypt","2","0","FIFA World Cup qualification","Abidjan","Ivory Coast","FALSE"
"2005-06-19","Liberia","Congo","0","2","FIFA World Cup qualification","Paynesville","Liberia","FALSE"
"2005-06-19","Mexico","Brazil","1","0","Confederations Cup","Hanover","Germany","TRUE"
"2005-06-21","Australia","Tunisia","0","2","Confederations Cup","Leipzig","Germany","TRUE"
"2005-06-21","Germany","Argentina","2","2","Confederations Cup","Nuremberg","Germany","FALSE"
"2005-06-22","China PR","Costa Rica","2","0","Friendly","Guangzhou","China PR","FALSE"
"2005-06-22","Greece","Mexico","0","0","Confederations Cup","Frankfurt am Main","Germany","TRUE"
"2005-06-22","Japan","Brazil","2","2","Confederations Cup","Cologne","Germany","TRUE"
"2005-06-25","Germany","Brazil","2","3","Confederations Cup","Nuremberg","Germany","FALSE"
"2005-06-26","Mexico","Argentina","1","1","Confederations Cup","Hanover","Germany","TRUE"
"2005-06-26","Mozambique","Lesotho","1","0","Friendly","Maputo","Mozambique","FALSE"
"2005-06-29","Brazil","Argentina","4","1","Confederations Cup","Frankfurt am Main","Germany","TRUE"
"2005-06-29","Germany","Mexico","4","3","Confederations Cup","Leipzig","Germany","FALSE"
"2005-07-01","Botswana","DR Congo","0","0","Friendly","Gaborone","Botswana","FALSE"
"2005-07-02","Canada","Honduras","1","2","Friendly","Burnaby","Canada","FALSE"
"2005-07-06","Colombia","Panama","0","1","Gold Cup","Miami","United States","TRUE"
"2005-07-06","Trinidad and Tobago","Honduras","1","1","Gold Cup","Miami","United States","TRUE"
"2005-07-07","Canada","Costa Rica","0","1","Gold Cup","Seattle","United States","TRUE"
"2005-07-07","United States","Cuba","4","1","Gold Cup","Seattle","United States","FALSE"
"2005-07-08","Guatemala","Jamaica","3","4","Gold Cup","Carson","United States","TRUE"
"2005-07-08","South Africa","Mexico","2","1","Gold Cup","Carson","United States","TRUE"
"2005-07-09","Costa Rica","Cuba","3","1","Gold Cup","Seattle","United States","TRUE"
"2005-07-09","United States","Canada","2","0","Gold Cup","Seattle","United States","FALSE"
"2005-07-10","Honduras","Colombia","2","1","Gold Cup","Miami","United States","TRUE"
"2005-07-10","Jamaica","South Africa","3","3","Gold Cup","Los Angeles","United States","TRUE"
"2005-07-10","Mexico","Guatemala","4","0","Gold Cup","Los Angeles","United States","TRUE"
"2005-07-10","Panama","Trinidad and Tobago","2","2","Gold Cup","Miami","United States","TRUE"
"2005-07-10","Saare County","Åland Islands","2","1","Island Games","Shetland","Scotland","TRUE"
"2005-07-10","Shetland","Falkland Islands","4","0","Island Games","Shetland","Scotland","FALSE"
"2005-07-10","Guernsey","Orkney","3","0","Island Games","Shetland","Scotland","TRUE"
"2005-07-10","Greenland","Ynys Môn","0","0","Island Games","Shetland","Scotland","TRUE"
"2005-07-11","Shetland","Åland Islands","3","1","Island Games","Shetland","Scotland","FALSE"
"2005-07-11","Isle of Man","Saare County","2","2","Island Games","Shetland","Scotland","TRUE"
"2005-07-11","Orkney","Greenland","1","2","Island Games","Shetland","Scotland","TRUE"
