"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"2002-02-14","Thailand","North Korea","0","1","King's Cup","Bangkok","Thailand","FALSE"
"2002-02-15","China PR","Slovenia","0","0","Lunar New Year Cup","So Kon Po","Hong Kong","TRUE"
"2002-02-16","Qatar","Singapore","2","0","King's Cup","Bangkok","Thailand","TRUE"
"2002-02-16","Thailand","North Korea","0","0","King's Cup","Bangkok","Thailand","FALSE"
"2002-02-18","Gibraltar","Monaco","2","2","Friendly","Nice","France","TRUE"
"2002-03-01","Iran","Venezuela","1","0","Friendly","Casablanca","Morocco","TRUE"
"2002-03-02","Botswana","Eswatini","6","2","Friendly","Gaborone","Botswana","FALSE"
"2002-03-02","United States","Honduras","4","0","Friendly","Seattle","United States","FALSE"
"2002-03-07","Brazil","Iceland","6","1","Friendly","Cuiabá","Brazil","FALSE"
"2002-03-09","American Samoa","New Caledonia","0","10","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-09","Samoa","Tonga","2","0","Oceania Nations Cup qualification","Apia","Samoa","FALSE"
"2002-03-10","Eswatini","Lesotho","1","0","Friendly","Mbabane","Eswatini","FALSE"
"2002-03-10","United States","Ecuador","1","0","Friendly","Birmingham","United States","FALSE"
"2002-03-12","American Samoa","Tonga","2","7","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-12","New Caledonia","Papua New Guinea","1","4","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-13","Mexico","Albania","4","0","Friendly","San Diego","United States","TRUE"
"2002-03-13","Tunisia","South Korea","0","0","Friendly","Tunis","Tunisia","FALSE"
"2002-03-14","Estonia","Saudi Arabia","2","0","Friendly","Montecatini Terme","Italy","TRUE"
"2002-03-14","Papua New Guinea","Tonga","5","0","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-14","Samoa","American Samoa","5","0","Oceania Nations Cup qualification","Apia","Samoa","FALSE"
"2002-03-16","Botswana","Namibia","3","1","Friendly","Gaborone","Botswana","FALSE"
"2002-03-16","Mauritius","Madagascar","2","3","COSAFA Cup","Mapou","Mauritius","FALSE"
"2002-03-16","New Caledonia","Tonga","9","0","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-16","Samoa","Papua New Guinea","1","4","Oceania Nations Cup qualification","Apia","Samoa","FALSE"
"2002-03-17","Sri Lanka","Pakistan","1","1","Friendly","Colombo","Sri Lanka","FALSE"
"2002-03-18","American Samoa","Papua New Guinea","0","7","Oceania Nations Cup qualification","Apia","Samoa","TRUE"
"2002-03-18","Samoa","New Caledonia","0","5","Oceania Nations Cup qualification","Apia","Samoa","FALSE"
