"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1976-08-11","Australia","Hong Kong","0","1","Friendly","Canberra","Australia","FALSE"
"1976-08-11","Myanmar","Thailand","1","0","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-11","El Salvador","Panama","4","1","CONCACAF Championship qualification","San Salvador","El Salvador","FALSE"
"1976-08-11","Sweden","Finland","6","0","Nordic Championship","Malmö","Sweden","FALSE"
"1976-08-12","Indonesia","South Korea","0","2","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-13","Myanmar","Japan","2","2","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-14","Malaysia","Indonesia","7","1","Merdeka Tournament","Kuala Lumpur","Malaysia","FALSE"
"1976-08-14","Haiti","Curaçao","7","0","CONCACAF Championship qualification","Port-au-Prince","Haiti","FALSE"
"1976-08-14","India","Thailand","2","6","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-14","Indonesia","India","1","3","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-15","Barbados","Trinidad and Tobago","2","1","CONCACAF Championship qualification","Bridgetown","Barbados","FALSE"
"1976-08-15","Myanmar","South Korea","2","2","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-15","Jamaica","Cuba","1","3","CONCACAF Championship qualification","Kingston","Jamaica","FALSE"
"1976-08-16","Japan","Thailand","2","2","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-17","Malaysia","Myanmar","3","1","Merdeka Tournament","Kuala Lumpur","Malaysia","FALSE"
"1976-08-17","Switzerland","Bulgaria","2","2","Friendly","Lucerne","Switzerland","FALSE"
"1976-08-18","Australia","Hong Kong","2","0","Friendly","Gosford","Australia","FALSE"
"1976-08-18","Indonesia","Thailand","0","1","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-18","Japan","South Korea","0","0","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-19","Myanmar","India","2","2","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-20","South Korea","Thailand","2","1","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1976-08-20","Malaysia","Japan","2","2","Merdeka Tournament","Kuala Lumpur","Malaysia","FALSE"
"1976-08-21","Iceland","Luxembourg","3","1","Friendly","Reykjavík","Iceland","FALSE"
"1976-08-22","Malaysia","Japan","2","0","Merdeka Tournament","Kuala Lumpur","Malaysia","FALSE"
"1976-08-25","Denmark","Norway","3","0","Nordic Championship","Vejle","Denmark","FALSE"
"1976-08-25","Finland","Turkey","2","1","Friendly","Helsinki","Finland","FALSE"
"1976-08-29","Cuba","Jamaica","2","0","CONCACAF Championship qualification","Havana","Cuba","FALSE"
"1976-08-29","Suriname","Guyana","3","0","CONCACAF Championship qualification","Paramaribo","Suriname","FALSE"
"1976-08-31","Trinidad and Tobago","Barbados","1","0","CONCACAF Championship qualification","Port of Spain","Trinidad and Tobago","FALSE"
"1976-09-01","Denmark","France","1","1","Friendly","Copenhagen","Denmark","FALSE"
"1976-09-04","Burkina Faso","Ivory Coast","1","1","FIFA World Cup qualification","Ouagadougou","Upper Volta","TRUE"
"1976-09-04","Malawi","Uganda","1","1","Friendly","Blantyre","Malawi","FALSE"
"1976-09-05","Iceland","Belgium","0","1","FIFA World Cup qualification","Reykjavík","Iceland","FALSE"
"1976-09-05","Saudi Arabia","Iraq","0","0","Friendly","Riyadh","Saudi Arabia","FALSE"
"1976-09-06","Malawi","Uganda","1","2","Friendly","Blantyre","Malawi","FALSE"
"1976-09-08","England","Republic of Ireland","1","1","Friendly","London","England","FALSE"
"1976-09-08","Iceland","Netherlands","0","1","FIFA World Cup qualification","Reykjavík","Iceland","FALSE"
"1976-09-08","Libya","Algeria","0","1","Friendly","Benghazi","Libya","FALSE"
"1976-09-08","Norway","Switzerland","1","0","FIFA World Cup qualification","Oslo","Norway","FALSE"
"1976-09-08","Scotland","Finland","6","0","Friendly","Glasgow","Scotland","FALSE"
"1976-09-08","Sweden","Hungary","1","1","Friendly","Solna","Sweden","FALSE"
