"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1965-09-05","DR Congo","Ivory Coast","4","2","African Cup of Nations qualification","Brazzaville","Congo","TRUE"
"1965-09-05","Hungary","Austria","3","0","FIFA World Cup qualification","Budapest","Hungary","FALSE"
"1965-09-07","Brazil","Uruguay","3","0","Friendly","Belo Horizonte","Brazil","FALSE"
"1965-09-11","New Caledonia","Tahiti","4","1","Friendly","Nouméa","New Caledonia","FALSE"
"1965-09-12","Zambia","Kenya","3","3","Friendly","Ndola","Zambia","FALSE"
"1965-09-13","New Caledonia","Tahiti","2","1","Friendly","Nouméa","New Caledonia","FALSE"
"1965-09-14","Zambia","Kenya","2","3","Friendly","Kitwe","Zambia","FALSE"
"1965-09-15","Norway","France","0","1","FIFA World Cup qualification","Oslo","Norway","FALSE"
"1965-09-18","Uganda","Zambia","2","2","Friendly","Kampala","Uganda","FALSE"
"1965-09-19","Czechoslovakia","Romania","3","1","FIFA World Cup qualification","Prague","Czechoslovakia","FALSE"
"1965-09-19","Luxembourg","Yugoslavia","2","5","FIFA World Cup qualification","Luxembourg","Luxembourg","FALSE"
"1965-09-19","Zambia","Kenya","3","2","Friendly","Lusaka","Zambia","FALSE"
"1965-09-21","DR Congo","Liberia","3","2","African Cup of Nations qualification","Brazzaville","Congo","TRUE"
"1965-09-21","Ivory Coast","Liberia","4","0","African Cup of Nations qualification","Abidjan","Ivory Coast","FALSE"
"1965-09-25","Uganda","Zanzibar","4","1","Friendly","Kampala","Uganda","FALSE"
"1965-09-26","Bulgaria","Belgium","3","0","FIFA World Cup qualification","Sofia","Bulgaria","FALSE"
"1965-09-26","Kenya","Tanzania","0","2","Friendly","Kampala","Uganda","TRUE"
"1965-09-26","Norway","Denmark","2","2","Nordic Championship","Oslo","Norway","FALSE"
"1965-09-26","Sweden","Germany","1","2","FIFA World Cup qualification","Solna","Sweden","FALSE"
"1965-09-26","Finland","Poland","2","0","FIFA World Cup qualification","Helsinki","Finland","FALSE"
"1965-09-28","Uganda","Kenya","2","2","Friendly","Kampala","Uganda","FALSE"
"1965-09-29","Tanzania","Zanzibar","3","0","Friendly","Kampala","Uganda","TRUE"
"1965-10-01","Kenya","Zanzibar","5","1","Friendly","Kampala","Uganda","TRUE"
"1965-10-02","Northern Ireland","Scotland","3","2","British Home Championship","Belfast","Northern Ireland","FALSE"
"1965-10-02","Uganda","Tanzania","1","1","Friendly","Kampala","Uganda","FALSE"
"1965-10-02","Wales","England","0","0","British Home Championship","Cardiff","Wales","FALSE"
"1965-10-03","Greece","Russia","1","4","FIFA World Cup qualification","Piraeus","Greece","FALSE"
"1965-10-09","France","Yugoslavia","1","0","FIFA World Cup qualification","Paris","France","FALSE"
"1965-10-09","Germany","Austria","4","1","Friendly","Stuttgart","Germany","FALSE"
"1965-10-09","Hungary","German DR","3","2","FIFA World Cup qualification","Budapest","Hungary","FALSE"
"1965-10-09","Turkey","Czechoslovakia","0","6","FIFA World Cup qualification","Istanbul","Turkey","FALSE"
"1965-10-12","Chile","Ecuador","2","1","FIFA World Cup qualification","Lima","Peru","TRUE"
"1965-10-13","Scotland","Poland","1","2","FIFA World Cup qualification","Glasgow","Scotland","FALSE"
"1965-10-14","Ghana","Congo","5","0","Friendly","Accra","Ghana","FALSE"
"1965-10-17","Congo","Ghana","2","1","Friendly","Brazzaville","Congo","FALSE"
"1965-10-17","Denmark","Russia","1","3","FIFA World Cup qualification","Copenhagen","Denmark","FALSE"
"1965-10-17","Netherlands","Switzerland","0","0","FIFA World Cup qualification","Amsterdam","Netherlands","FALSE"
"1965-10-20","England","Austria","2","3","Friendly","London","England","FALSE"
"1965-10-21","Congo","Ghana","1","2","Friendly","Brazzaville","Congo","FALSE"
"1965-10-23","Kenya","Tanzania","4","2","Friendly","Nairobi","Kenya","FALSE"
"1965-10-23","Turkey","Romania","2","1","FIFA World Cup qualification","Ankara","Turkey","FALSE"
"1965-10-24","Poland","Finland","7","0","FIFA World Cup qualification","Szczecin","Poland","FALSE"
"1965-10-27","Belgium","Bulgaria","5","0","FIFA World Cup qualification","Brussels","Belgium","FALSE"
"1965-10-27","Denmark","Greece","1","1","FIFA World Cup qualification","Copenhagen","Denmark","FALSE"
"1965-10-27","Spain","Republic of Ireland","4","1","FIFA World Cup qualification","Seville","Spain","FALSE"
"1965-10-27","Wales","Russia","2","1","FIFA World Cup qualification","Cardiff","Wales","FALSE"
"1965-10-30","Nigeria","Ghana","0","4","Friendly","Lagos","Nigeria","FALSE"
"1965-10-31","Algeria","Morocco","0","0","Friendly","Algiers","Algeria","FALSE"
"1965-10-31","German DR","Austria","1","0","FIFA World Cup qualification","Leipzig","German DR","FALSE"
"1965-10-31","Portugal","Czechoslovakia","0","0","FIFA World Cup qualification","Porto","Portugal","FALSE"
"1965-10-31","Sweden","Norway","0","0","Nordic Championship","Solna","Sweden","FALSE"
"1965-11-01","Italy","Poland","6","1","FIFA World Cup qualification","Rome","Italy","FALSE"
"1965-11-06","France","Luxembourg","4","1","FIFA World Cup qualification","Marseille","France","FALSE"
"1965-11-07","Cyprus","Sweden","0","5","FIFA World Cup qualification","Famagusta","Cyprus","FALSE"
"1965-11-07","Ghana","Nigeria","3","0","Friendly","Accra","Ghana","FALSE"
"1965-11-07","Yugoslavia","Norway","1","1","FIFA World Cup qualification","Belgrade","Yugoslavia","FALSE"
"1965-11-09","Scotland","Italy","1","0","FIFA World Cup qualification","Glasgow","Scotland","FALSE"
"1965-11-10","England","Northern Ireland","2","1","British Home Championship","London","England","FALSE"
"1965-11-10","Republic of Ireland","Spain","0","1","FIFA World Cup qualification","Paris","France","TRUE"
"1965-11-10","Israel","Belgium","0","5","FIFA World Cup qualification","Ramat-Gan","Israel","FALSE"
"1965-11-12","DR Congo","Ghana","2","5","African Cup of Nations","Sousse","Tunisia","TRUE"
