"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"2001-02-28","Lithuania","Romania","0","3","Cyprus International Tournament","Nicosia","Cyprus","TRUE"
"2001-02-28","Luxembourg","Finland","0","1","Friendly","Luxembourg","Luxembourg","FALSE"
"2001-02-28","North Macedonia","Czech Republic","1","1","Friendly","Skopje","North Macedonia","FALSE"
"2001-02-28","Malta","Sweden","0","3","Friendly","Attard","Malta","FALSE"
"2001-02-28","Netherlands","Turkey","0","0","Friendly","Amsterdam","Netherlands","FALSE"
"2001-02-28","Northern Ireland","Norway","0","4","Friendly","Belfast","Northern Ireland","FALSE"
"2001-02-28","Portugal","Andorra","3","0","FIFA World Cup qualification","Funchal","Portugal","FALSE"
"2001-02-28","Slovenia","Uruguay","0","2","Friendly","Koper","Slovenia","FALSE"
"2001-02-28","Switzerland","Poland","0","4","Friendly","Larnaca","Cyprus","TRUE"
"2001-02-28","United States","Mexico","2","0","FIFA World Cup qualification","Columbus","United States","FALSE"
"2001-03-01","Saint Kitts and Nevis","Dominican Republic","2","1","CFU Caribbean Cup qualification","St. John's","Antigua and Barbuda","TRUE"
"2001-03-03","Antigua and Barbuda","Dominican Republic","2","3","CFU Caribbean Cup qualification","St. John's","Antigua and Barbuda","FALSE"
"2001-03-03","United States","Brazil","1","2","Friendly","Pasadena","United States","FALSE"
"2001-03-04","Antigua and Barbuda","Saint Kitts and Nevis","2","2","CFU Caribbean Cup qualification","St. John's","Antigua and Barbuda","FALSE"
"2001-03-04","Hong Kong","Palestine","1","1","FIFA World Cup qualification","So Kon Po","Hong Kong","FALSE"
"2001-03-04","Qatar","Malaysia","5","1","FIFA World Cup qualification","So Kon Po","Hong Kong","TRUE"
"2001-03-06","Guatemala","El Salvador","1","1","Friendly","Mazatenango","Guatemala","FALSE"
"2001-03-07","Honduras","Peru","0","0","Friendly","Miami","United States","TRUE"
"2001-03-07","Jordan","Hungary","1","1","Friendly","Amman","Jordan","FALSE"
"2001-03-07","Lebanon","Syria","2","2","Friendly","Tripoli","Lebanon","FALSE"
"2001-03-07","Mexico","Brazil","3","3","Friendly","Guadalajara","Mexico","FALSE"
"2001-03-08","Hong Kong","Malaysia","0","2","FIFA World Cup qualification","So Kon Po","Hong Kong","FALSE"
"2001-03-08","Palestine","Qatar","1","2","FIFA World Cup qualification","So Kon Po","Hong Kong","TRUE"
"2001-03-10","Botswana","Eswatini","1","0","Friendly","Maseru","Lesotho","TRUE"
"2001-03-10","DR Congo","Ivory Coast","1","2","FIFA World Cup qualification","Kinshasa","DR Congo","FALSE"
"2001-03-10","Kenya","Uganda","1","0","Friendly","Mumias","Kenya","FALSE"
"2001-03-10","Lesotho","Mozambique","0","0","Friendly","Maseru","Lesotho","FALSE"
"2001-03-10","Senegal","Namibia","4","0","FIFA World Cup qualification","Dakar","Senegal","FALSE"
"2001-03-10","Sierra Leone","Sudan","0","2","FIFA World Cup qualification","Freetown","Sierra Leone","FALSE"
"2001-03-10","Zambia","Libya","2","0","FIFA World Cup qualification","Chingola","Zambia","FALSE"
"2001-03-11","Botswana","Mozambique","1","3","Friendly","Maseru","Lesotho","TRUE"
"2001-03-11","Egypt","Algeria","5","2","FIFA World Cup qualification","Cairo","Egypt","FALSE"
"2001-03-11","Ghana","Nigeria","0","0","FIFA World Cup qualification","Accra","Ghana","FALSE"
"2001-03-11","Hong Kong","Qatar","0","2","FIFA World Cup qualification","So Kon Po","Hong Kong","FALSE"
"2001-03-11","Lesotho","Eswatini","2","1","Friendly","Maseru","Lesotho","FALSE"
"2001-03-11","Palestine","Malaysia","1","0","FIFA World Cup qualification","So Kon Po","Hong Kong","TRUE"
"2001-03-11","Togo","Angola","1","1","FIFA World Cup qualification","Lomé","Togo","FALSE"
"2001-03-11","Zimbabwe","Malawi","2","0","FIFA World Cup qualification","Harare","Zimbabwe","FALSE"
"2001-03-12","Grenada","Dominica","8","3","Windward Islands Tournament","St. George's","Grenada","FALSE"
"2001-03-12","Saint Lucia","Saint Vincent and the Grenadines","0","2","Windward Islands Tournament","St. George's","Grenada","TRUE"
"2001-03-14","Dominica","Saint Vincent and the Grenadines","0","2","Windward Islands Tournament","St. George's","Grenada","TRUE"
"2001-03-14","Grenada","Saint Lucia","4","3","Windward Islands Tournament","St. George's","Grenada","FALSE"
"2001-03-14","Panama","El Salvador","1","0","Friendly","Panama City","Panama","FALSE"
"2001-03-16","Dominica","Saint Lucia","1","1","Windward Islands Tournament","St. George's","Grenada","TRUE"
"2001-03-17","Botswana","Malawi","0","1","COSAFA Cup","Gaborone","Botswana","FALSE"
"2001-03-18","Dominica","Saint Lucia","0","1","Windward Islands Tournament","St. George's","Grenada","TRUE"
"2001-03-18","Gabon","Mali","2","0","Friendly","Libreville","Gabon","FALSE"
"2001-03-19","Egypt","Estonia","3","3","Friendly","Cairo","Egypt","FALSE"
"2001-03-20","Palestine","Hong Kong","1","0","FIFA World Cup qualification","Doha","Qatar","TRUE"
"2001-03-20","Qatar","Malaysia","0","0","FIFA World Cup qualification","Doha","Qatar","FALSE"
"2001-03-21","Honduras","Chile","3","1","Friendly","San Pedro Sula","Honduras","FALSE"
"2001-03-21","Saint Lucia","Martinique","1","1","Friendly","Castries","Saint Lucia","FALSE"
"2001-03-23","Hong Kong","Malaysia","2","1","FIFA World Cup qualification","Doha","Qatar","TRUE"
"2001-03-23","Libya","Egypt","2","0","African Cup of Nations qualification","Tripoli","Libya","FALSE"
"2001-03-23","Qatar","Palestine","2","1","FIFA World Cup qualification","Doha","Qatar","FALSE"
"2001-03-24","Andorra","Netherlands","0","5","FIFA World Cup qualification","Barcelona","Spain","TRUE"
"2001-03-24","Armenia","Wales","2","2","FIFA World Cup qualification","Yerevan","Armenia","FALSE"
"2001-03-24","Azerbaijan","Moldova","0","0","FIFA World Cup qualification","Baku","Azerbaijan","FALSE"
"2001-03-24","Bosnia and Herzegovina","Austria","1","1","FIFA World Cup qualification","Sarajevo","Bosnia and Herzegovina","FALSE"
"2001-03-24","British Virgin Islands","United States Virgin Islands","2","0","Friendly","Road Town","British Virgin Islands","FALSE"
"2001-03-24","Bulgaria","Iceland","2","1","FIFA World Cup qualification","Sofia","Bulgaria","FALSE"
"2001-03-24","Croatia","Latvia","4","1","FIFA World Cup qualification","Osijek","Croatia","FALSE"
"2001-03-24","Cyprus","Republic of Ireland","0","4","FIFA World Cup qualification","Nicosia","Cyprus","FALSE"
"2001-03-24","England","Finland","2","1","FIFA World Cup qualification","Liverpool","England","FALSE"
"2001-03-24","France","Japan","5","0","Friendly","Saint-Denis","France","FALSE"
"2001-03-24","Gabon","Kenya","1","1","African Cup of Nations qualification","Libreville","Gabon","FALSE"
"2001-03-24","Germany","Albania","2","1","FIFA World Cup qualification","Leverkusen","Germany","FALSE"
"2001-03-24","Hungary","Lithuania","1","1","FIFA World Cup qualification","Budapest","Hungary","FALSE"
"2001-03-24","Lesotho","Zimbabwe","0","1","African Cup of Nations qualification","Maseru","Lesotho","FALSE"
"2001-03-24","Luxembourg","Faroe Islands","0","2","FIFA World Cup qualification","Luxembourg","Luxembourg","FALSE"
"2001-03-24","Madagascar","Namibia","1","2","African Cup of Nations qualification","Antananarivo","Madagascar","FALSE"
"2001-03-24","Malta","Denmark","0","5","FIFA World Cup qualification","Attard","Malta","FALSE"
"2001-03-24","Morocco","Tunisia","2","0","African Cup of Nations qualification","Rabat","Morocco","FALSE"
"2001-03-24","Northern Ireland","Czech Republic","0","1","FIFA World Cup qualification","Belfast","Northern Ireland","FALSE"
"2001-03-24","Norway","Poland","2","3","FIFA World Cup qualification","Oslo","Norway","FALSE"
"2001-03-24","Romania","Italy","0","2","FIFA World Cup qualification","Bucharest","Romania","FALSE"
"2001-03-24","Russia","Slovenia","1","1","FIFA World Cup qualification","Moscow","Russia","FALSE"
"2001-03-24","Scotland","Belgium","2","2","FIFA World Cup qualification","Glasgow","Scotland","FALSE"
"2001-03-24","Senegal","Uganda","3","0","African Cup of Nations qualification","Dakar","Senegal","FALSE"
"2001-03-24","Serbia","Switzerland","1","1","FIFA World Cup qualification","Belgrade","Yugoslavia","TRUE"
"2001-03-24","South Africa","Mauritius","3","0","African Cup of Nations qualification","Port Elizabeth","South Africa","FALSE"
"2001-03-24","Spain","Liechtenstein","5","0","FIFA World Cup qualification","Alicante","Spain","FALSE"
