"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1937-07-04","Poland","Romania","2","4","Friendly","Łódź","Poland","FALSE"
"1937-07-14","Estonia","Romania","2","1","Friendly","Tallinn","Estonia","FALSE"
"1937-07-29","Latvia","Lithuania","4","2","FIFA World Cup qualification","Riga","Latvia","FALSE"
"1937-08-01","Yugoslavia","Turkey","3","1","Friendly","Belgrade","Yugoslavia","FALSE"
"1937-08-19","Finland","Estonia","0","1","FIFA World Cup qualification","Turku","Finland","FALSE"
"1937-08-22","Norway","Basque Country","1","3","Friendly","Oslo","Norway","FALSE"
"1937-08-29","Germany","Estonia","4","1","FIFA World Cup qualification","Königsberg","Germany","FALSE"
"1937-08-29","Denmark","Basque Country","1","11","Friendly","Copenhagen","Denmark","FALSE"
"1937-09-03","Lithuania","Latvia","1","5","FIFA World Cup qualification","Kaunas","Lithuania","FALSE"
"1937-09-04","Estonia","Latvia","1","1","Baltic Cup","Kaunas","Lithuania","TRUE"
"1937-09-05","Finland","Norway","0","2","Nordic Championship","Helsinki","Finland","FALSE"
"1937-09-05","Lithuania","Estonia","0","4","Baltic Cup","Kaunas","Lithuania","FALSE"
"1937-09-07","Estonia","Latvia","0","2","Baltic Cup","Kaunas","Lithuania","TRUE"
"1937-09-12","Bulgaria","Poland","3","3","Friendly","Sofia","Bulgaria","FALSE"
"1937-09-12","Mexico","United States","7","2","Friendly","Mexico City","Mexico","FALSE"
"1937-09-12","Poland","Denmark","3","1","Friendly","Warsaw","Poland","FALSE"
"1937-09-19","Austria","Switzerland","4","3","Central European International Cup","Vienna","Austria","FALSE"
"1937-09-19","Hungary","Czechoslovakia","8","3","Central European International Cup","Budapest","Hungary","FALSE"
"1937-09-19","Latvia","Estonia","3","1","Friendly","Riga","Latvia","FALSE"
"1937-09-19","Mexico","United States","7","3","Friendly","Mexico City","Mexico","FALSE"
"1937-09-19","Norway","Sweden","3","2","Nordic Championship","Oslo","Norway","FALSE"
"1937-10-03","Czechoslovakia","Yugoslavia","5","4","Friendly","Prague","Czechoslovakia","FALSE"
"1937-10-03","Sweden","Denmark","1","2","Nordic Championship","Solna","Sweden","FALSE"
"1937-10-05","Austria","Latvia","2","1","FIFA World Cup qualification","Vienna","Austria","FALSE"
"1937-10-10","Austria","Hungary","1","2","Central European International Cup","Vienna","Austria","FALSE"
"1937-10-10","France","Switzerland","2","1","Friendly","Paris","France","FALSE"
"1937-10-10","Norway","Republic of Ireland","3","2","FIFA World Cup qualification","Oslo","Norway","FALSE"
"1937-10-10","Poland","Yugoslavia","4","0","FIFA World Cup qualification","Warsaw","Poland","FALSE"
"1937-10-10","Poland","Latvia","2","1","Friendly","Katowice","Poland","FALSE"
"1937-10-10","Uruguay","Argentina","0","3","Copa Newton","Montevideo","Uruguay","FALSE"
"1937-10-11","El Salvador","Honduras","3","2","Friendly","San Salvador","El Salvador","FALSE"
"1937-10-13","Czechoslovakia","Latvia","4","0","Friendly","Prague","Czechoslovakia","FALSE"
"1937-10-17","Denmark","Finland","2","1","Nordic Championship","Copenhagen","Denmark","FALSE"
"1937-10-23","Northern Ireland","England","1","5","British Home Championship","Belfast","Northern Ireland","FALSE"
"1937-10-24","Czechoslovakia","Austria","2","1","Central European International Cup","Prague","Czechoslovakia","FALSE"
"1937-10-24","Germany","Norway","3","0","Friendly","Berlin","Germany","FALSE"
"1937-10-30","Wales","Scotland","2","1","British Home Championship","Cardiff","Wales","FALSE"
"1937-10-31","Netherlands","France","2","3","Friendly","Amsterdam","Netherlands","FALSE"
"1937-10-31","Switzerland","Italy","2","2","Central European International Cup","Geneva","Switzerland","FALSE"
"1937-11-07","Bulgaria","Czechoslovakia","1","1","FIFA World Cup qualification","Sofia","Bulgaria","FALSE"
"1937-11-07","Republic of Ireland","Norway","3","3","FIFA World Cup qualification","Dublin","Irish Free State","TRUE"
"1937-11-10","Scotland","Northern Ireland","1","1","British Home Championship","Aberdeen","Scotland","FALSE"
"1937-11-11","Argentina","Uruguay","5","1","Copa Lipton","Avellaneda","Argentina","FALSE"
"1937-11-14","Hungary","Switzerland","2","0","Central European International Cup","Budapest","Hungary","FALSE"
"1937-11-17","England","Wales","2","1","British Home Championship","Middlesbrough","England","FALSE"
"1937-11-21","Germany","Sweden","5","0","FIFA World Cup qualification","Altona","Germany","FALSE"
"1937-11-28","Netherlands","Luxembourg","4","0","FIFA World Cup qualification","Rotterdam","Netherlands","FALSE"
"1937-11-28","Spain","Portugal","1","2","Friendly","Vigo","Spain","FALSE"
"1937-11-28","Mexico","Basque Country","1","4","Friendly","Mexico City","Mexico","FALSE"
"1937-12-01","England","Czechoslovakia","5","4","Friendly","London","England","FALSE"
"1937-12-05","France","Italy","0","0","Friendly","Paris","France","FALSE"
"1937-12-05","Mexico","Basque Country","1","2","Friendly","Mexico City","Mexico","FALSE"
"1937-12-08","Scotland","Czechoslovakia","5","0","Friendly","Glasgow","Scotland","FALSE"
"1937-12-12","Mexico","Basque Country","0","4","Friendly","Mexico City","Mexico","FALSE"
"1938-01-09","Dominica","Saint Lucia","4","1","Friendly","Roseau","Dominica","FALSE"
"1938-01-09","Portugal","Hungary","4","0","Friendly","Lisbon","Portugal","FALSE"
