"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1987-12-10","Angola","Benin","0","0","Friendly","Luanda","Angola","FALSE"
"1987-12-10","Burkina Faso","Mali","1","2","Friendly","Ouagadougou","Burkina Faso","FALSE"
"1987-12-10","Cameroon","Equatorial Guinea","0","0","UDEAC Cup","N'Djamena","Chad","TRUE"
"1987-12-10","Cuba","Ghana","1","1","Friendly","Luanda","Angola","TRUE"
"1987-12-10","New Caledonia","Papua New Guinea","2","0","South Pacific Games","Nouméa","New Caledonia","FALSE"
"1987-12-10","Tahiti","Wallis Islands and Futuna","4","0","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-11","Algeria","Tunisia","0","0","Arab Cup qualification","Algiers","Algeria","FALSE"
"1987-12-11","Chad","Gabon","1","1","UDEAC Cup","N'Djamena","Chad","FALSE"
"1987-12-12","American Samoa","Wallis Islands and Futuna","1","5","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-12","Brazil","Germany","1","1","Friendly","Brasília","Brazil","FALSE"
"1987-12-12","New Caledonia","Tahiti","2","3","South Pacific Games","Nouméa","New Caledonia","FALSE"
"1987-12-12","Papua New Guinea","Vanuatu","1","1","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-13","Burkina Faso","Mali","2","1","Friendly","Ouagadougou","Burkina Faso","FALSE"
"1987-12-13","Ethiopia","Tanzania","0","0","CECAFA Cup","Addis Ababa","Ethiopia","FALSE"
"1987-12-13","Malawi","Zimbabwe","1","1","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-13","Mauritania","Tunisia","1","2","Arab Cup qualification","Algiers","Algeria","TRUE"
"1987-12-13","Togo","Ivory Coast","1","0","Friendly","Lomé","Togo","FALSE"
"1987-12-14","Kenya","Zanzibar","0","0","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-14","Uganda","Zambia","4","0","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-15","Algeria","Mauritania","3","0","Arab Cup qualification","Algiers","Algeria","FALSE"
"1987-12-15","American Samoa","Papua New Guinea","0","20","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-15","Chad","Equatorial Guinea","4","0","UDEAC Cup","N'Djamena","Chad","FALSE"
"1987-12-15","New Caledonia","Wallis Islands and Futuna","5","1","South Pacific Games","Nouméa","New Caledonia","FALSE"
"1987-12-15","Tahiti","Vanuatu","2","1","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-16","Argentina","Germany","1","0","Friendly","Buenos Aires","Argentina","FALSE"
"1987-12-16","Cameroon","Gabon","1","0","UDEAC Cup","N'Djamena","Chad","TRUE"
"1987-12-16","Greece","Netherlands","0","3","UEFA Euro qualification","Rhodes","Greece","FALSE"
"1987-12-16","Israel","Switzerland","0","2","Friendly","Ramat-Gan","Israel","FALSE"
"1987-12-16","Kenya","Tanzania","3","2","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-16","Turkey","Yugoslavia","2","3","UEFA Euro qualification","İzmir","Turkey","FALSE"
"1987-12-16","Uganda","Zimbabwe","0","0","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-17","Ethiopia","Zanzibar","0","0","CECAFA Cup","Addis Ababa","Ethiopia","FALSE"
"1987-12-17","Malawi","Zambia","2","1","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-17","Malaysia","South Korea","0","1","Merdeka Tournament","Kuala Lumpur","Malaysia","FALSE"
"1987-12-17","New Caledonia","Vanuatu","6","0","South Pacific Games","Nouméa","New Caledonia","FALSE"
"1987-12-17","Papua New Guinea","Wallis Islands and Futuna","2","0","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-18","Chad","Cameroon","0","1","UDEAC Cup","N'Djamena","Chad","FALSE"
"1987-12-18","Equatorial Guinea","Gabon","0","0","UDEAC Cup","N'Djamena","Chad","TRUE"
"1987-12-19","Ivory Coast","Senegal","1","0","Friendly","Monrovia","Liberia","TRUE"
"1987-12-19","New Caledonia","Tahiti","1","0","South Pacific Games","Nouméa","New Caledonia","FALSE"
"1987-12-19","Papua New Guinea","Vanuatu","3","1","South Pacific Games","Nouméa","New Caledonia","TRUE"
"1987-12-19","Tanzania","Zanzibar","0","2","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-20","Ethiopia","Kenya","2","1","CECAFA Cup","Addis Ababa","Ethiopia","FALSE"
"1987-12-20","Liberia","Burkina Faso","1","0","Friendly","Monrovia","Liberia","FALSE"
"1987-12-20","Malawi","Uganda","0","2","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-20","Malta","Portugal","0","1","UEFA Euro qualification","Attard","Malta","FALSE"
"1987-12-22","Burkina Faso","Senegal","0","1","Friendly","Monrovia","Liberia","TRUE"
"1987-12-23","Liberia","Ivory Coast","1","2","Friendly","Monrovia","Liberia","FALSE"
"1987-12-23","Zanzibar","Zimbabwe","0","1","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-24","Ethiopia","Uganda","3","0","CECAFA Cup","Addis Ababa","Ethiopia","FALSE"
"1987-12-26","Uganda","Zanzibar","2","0","CECAFA Cup","Addis Ababa","Ethiopia","TRUE"
"1987-12-27","Ethiopia","Zimbabwe","1","1","CECAFA Cup","Addis Ababa","Ethiopia","FALSE"
"1988-01-03","Gambia","Ghana","0","2","Friendly","Banjul","Gambia","FALSE"
"1988-01-05","Algeria","Congo","4","1","Friendly","Annaba","Algeria","FALSE"
"1988-01-05","Gambia","Ghana","0","0","Friendly","Banjul","Gambia","FALSE"
"1988-01-06","Guatemala","Costa Rica","1","2","Friendly","Guatemala","Guatemala","FALSE"
"1988-01-06","South Korea","Egypt","1","1","Friendly","Doha","Qatar","TRUE"
"1988-01-10","Guatemala","United States","1","0","Friendly","Guatemala","Guatemala","FALSE"
"1988-01-12","Czechoslovakia","Finland","0","2","Friendly","Las Palmas","Spain","TRUE"
"1988-01-12","German DR","Sweden","1","4","Friendly","Las Palmas","Spain","TRUE"
"1988-01-13","Guatemala","United States","0","1","Friendly","Guatemala","Guatemala","FALSE"
"1988-01-13","Honduras","Mexico","0","1","Friendly","San Pedro Sula","Honduras","FALSE"
"1988-01-14","Thailand","Indonesia","3","3","King's Cup","Bangkok","Thailand","FALSE"
"1988-01-15","Czechoslovakia","German DR","1","0","Friendly","Las Palmas","Spain","TRUE"
"1988-01-15","Finland","Sweden","0","1","Friendly","Las Palmas","Spain","TRUE"
"1988-01-15","Jordan","United Arab Emirates","0","1","Friendly","Manama","Bahrain","TRUE"
"1988-01-18","Indonesia","Oman","3","0","King's Cup","Bangkok","Thailand","TRUE"
