"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1971-08-21","Hong Kong","Vietnam Republic","1","3","Merdeka Tournament","Kuala Lumpur","Malaysia","TRUE"
"1971-08-22","Saint Lucia","Saint Vincent and the Grenadines","1","5","Friendly","Castries","Saint Lucia","FALSE"
"1971-08-23","India","Indonesia","2","1","Friendly","Kallang","Singapore","TRUE"
"1971-08-23","Singapore","Malaysia","2","4","Friendly","Kallang","Singapore","FALSE"
"1971-08-24","Philippines","Thailand","0","1","Friendly","Kallang","Singapore","TRUE"
"1971-08-25","Finland","Norway","1","1","Nordic Championship","Helsinki","Finland","FALSE"
"1971-08-26","India","Malaysia","6","0","Friendly","Kallang","Singapore","TRUE"
"1971-08-26","Thailand","Vietnam Republic","1","2","Friendly","Kallang","Singapore","TRUE"
"1971-08-27","Singapore","Indonesia","3","2","Friendly","Kallang","Singapore","FALSE"
"1971-08-28","India","Vietnam Republic","0","0","Friendly","Kallang","Singapore","TRUE"
"1971-08-30","Tahiti","Fiji","5","2","Friendly","Papeete","French Polynesia","FALSE"
"1971-09-01","Hungary","Yugoslavia","2","1","Friendly","Budapest","Hungary","FALSE"
"1971-09-01","Senegal","Guinea","0","0","African Cup of Nations qualification","Dakar","Senegal","FALSE"
"1971-09-04","Austria","Sweden","1","0","UEFA Euro qualification","Vienna","Austria","FALSE"
"1971-09-05","Honduras","Guatemala","1","0","CONCACAF Championship qualification","Tegucigalpa","Honduras","FALSE"
"1971-09-08","Denmark","Finland","0","0","Nordic Championship","Copenhagen","Denmark","FALSE"
"1971-09-08","Germany","Mexico","5","0","Friendly","Hanover","Germany","FALSE"
"1971-09-08","Norway","France","1","3","UEFA Euro qualification","Oslo","Norway","FALSE"
"1971-09-09","Fiji","New Caledonia","1","5","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-09","Tahiti","Papua New Guinea","2","2","South Pacific Games","Papeete","French Polynesia","FALSE"
"1971-09-09","El Salvador","Nicaragua","3","2","CONCACAF Championship qualification","San Salvador","El Salvador","FALSE"
"1971-09-10","South Korea","Iran","2","0","Friendly","Seoul","South Korea","FALSE"
"1971-09-11","Cook Islands","Papua New Guinea","1","16","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-11","Fiji","Vanuatu","4","6","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-12","South Korea","Iran","0","2","Friendly","Seoul","South Korea","FALSE"
"1971-09-12","Guatemala","Honduras","1","1","CONCACAF Championship qualification","Guatemala","Guatemala","FALSE"
"1971-09-13","New Caledonia","Vanuatu","0","0","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-13","Tahiti","Cook Islands","30","0","South Pacific Games","Papeete","French Polynesia","FALSE"
"1971-09-15","Cook Islands","Fiji","1","15","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-15","El Salvador","Nicaragua","1","0","CONCACAF Championship qualification","San Salvador","El Salvador","FALSE"
"1971-09-15","Suriname","Guyana","4","1","CONCACAF Championship qualification","Paramaribo","Suriname","FALSE"
"1971-09-16","New Caledonia","Papua New Guinea","4","0","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-16","Tahiti","Vanuatu","1","2","South Pacific Games","Papeete","French Polynesia","FALSE"
"1971-09-18","German DR","Mexico","1","1","Friendly","Leipzig","German DR","FALSE"
"1971-09-18","Russia","India","5","0","Friendly","Moscow","Soviet Union","FALSE"
"1971-09-18","Tahiti","Papua New Guinea","8","1","South Pacific Games","Papeete","French Polynesia","FALSE"
"1971-09-18","New Caledonia","Vanuatu","7","1","South Pacific Games","Papeete","French Polynesia","TRUE"
"1971-09-21","Guyana","Suriname","2","3","CONCACAF Championship qualification","Georgetown","Guyana","FALSE"
"1971-09-22","Finland","Romania","0","4","UEFA Euro qualification","Helsinki","Finland","FALSE"
"1971-09-22","Poland","Turkey","5","1","UEFA Euro qualification","Kraków","Poland","FALSE"
