"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"2010-11-17","Guatemala","Guyana","3","0","Friendly","Kennesaw","United States","TRUE"
"2010-11-17","Hong Kong","Paraguay","0","7","Friendly","So Kon Po","Hong Kong","FALSE"
"2010-11-17","Hungary","Lithuania","2","0","Friendly","Székesfehérvár","Hungary","FALSE"
"2010-11-17","Iraq","Kuwait","1","1","Friendly","Abu Dhabi","United Arab Emirates","TRUE"
"2010-11-17","Republic of Ireland","Norway","1","2","Friendly","Dublin","Republic of Ireland","FALSE"
"2010-11-17","Israel","Iceland","3","2","Friendly","Jaffa","Israel","FALSE"
"2010-11-17","Italy","Romania","1","1","Friendly","Klagenfurt","Austria","TRUE"
"2010-11-17","Jamaica","Costa Rica","0","0","Friendly","Fort Lauderdale","United States","TRUE"
"2010-11-17","Libya","Niger","1","1","Friendly","Tripoli","Libya","FALSE"
"2010-11-17","Luxembourg","Algeria","0","0","Friendly","Luxembourg","Luxembourg","FALSE"
"2010-11-17","Malawi","Rwanda","2","1","Friendly","Blantyre","Malawi","FALSE"
"2010-11-17","Mali","DR Congo","3","1","Friendly","Évreux","France","TRUE"
"2010-11-17","Montenegro","Azerbaijan","2","0","Friendly","Podgorica","Montenegro","FALSE"
"2010-11-17","Mozambique","Zimbabwe","1","3","Friendly","Maputo","Mozambique","FALSE"
"2010-11-17","Netherlands","Turkey","1","0","Friendly","Amsterdam","Netherlands","FALSE"
"2010-11-17","Northern Ireland","Morocco","1","1","Friendly","Belfast","Northern Ireland","FALSE"
"2010-11-17","Oman","Belarus","0","4","Friendly","Muscat","Oman","FALSE"
"2010-11-17","Panama","Honduras","2","0","Friendly","Panama City","Panama","FALSE"
"2010-11-17","Poland","Ivory Coast","3","1","Friendly","Poznań","Poland","FALSE"
"2010-11-17","Portugal","Spain","4","0","Friendly","Lisbon","Portugal","FALSE"
"2010-11-17","Russia","Belgium","0","2","Friendly","Voronezh","Russia","FALSE"
"2010-11-17","Saudi Arabia","Ghana","0","0","Friendly","Dubai","United Arab Emirates","TRUE"
"2010-11-17","Slovakia","Bosnia and Herzegovina","2","3","Friendly","Bratislava","Slovakia","FALSE"
"2010-11-17","Slovenia","Georgia","1","2","Friendly","Koper","Slovenia","FALSE"
"2010-11-17","South Africa","United States","0","1","Friendly","Cape Town","South Africa","FALSE"
"2010-11-17","Sweden","Germany","0","0","Friendly","Gothenburg","Sweden","FALSE"
"2010-11-17","Switzerland","Ukraine","2","2","Friendly","Geneva","Switzerland","FALSE"
"2010-11-17","Tajikistan","Afghanistan","1","0","Friendly","Dushanbe","Tajikistan","FALSE"
"2010-11-17","Togo","Chad","0","0","African Cup of Nations qualification","Lomé","Togo","FALSE"
"2010-11-18","Qatar","Haiti","0","1","Friendly","Doha","Qatar","FALSE"
"2010-11-18","United Arab Emirates","India","5","0","Friendly","Dubai","United Arab Emirates","FALSE"
"2010-11-21","Indonesia","Timor-Leste","6","0","Friendly","Palembang","Indonesia","FALSE"
"2010-11-22","Kuwait","Qatar","1","0","Gulf Cup","Aden","Yemen","TRUE"
"2010-11-22","Yemen","Saudi Arabia","0","4","Gulf Cup","Aden","Yemen","FALSE"
"2010-11-23","Iraq","United Arab Emirates","0","0","Gulf Cup","Aden","Yemen","TRUE"
"2010-11-23","Oman","Bahrain","1","1","Gulf Cup","Aden","Yemen","TRUE"
"2010-11-23","Tanzania","Kenya","1","0","Friendly","Dar es Salaam","Tanzania","FALSE"
"2010-11-24","Indonesia","Taiwan","2","0","Friendly","Palembang","Indonesia","FALSE"
"2010-11-25","Saudi Arabia","Kuwait","0","0","Gulf Cup","Zinjibar","Yemen","TRUE"
"2010-11-25","Yemen","Qatar","1","2","Gulf Cup","Zinjibar","Yemen","FALSE"
"2010-11-26","Bahrain","Iraq","2","3","Gulf Cup","Aden","Yemen","TRUE"
"2010-11-26","Martinique","Grenada","1","1","CFU Caribbean Cup","Fort-de-France","Martinique","FALSE"
"2010-11-26","Singapore","Laos","4","0","Friendly","Singapore","Singapore","FALSE"
"2010-11-26","Trinidad and Tobago","Cuba","0","2","CFU Caribbean Cup","Fort-de-France","Martinique","TRUE"
"2010-11-26","United Arab Emirates","Oman","0","0","Gulf Cup","Aden","Yemen","TRUE"
"2010-11-27","Guyana","Guadeloupe","1","1","CFU Caribbean Cup","Rivière-Pilote","Martinique","TRUE"
