"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral"
"1961-10-03","Tanzania","Uganda","3","1","Friendly","Mombasa","Kenya","TRUE"
"1961-10-04","Belgium","Sweden","0","2","FIFA World Cup qualification","Brussels","Belgium","FALSE"
"1961-10-04","Kenya","Zanzibar","10","0","Friendly","Mombasa","Kenya","FALSE"
"1961-10-06","Tanzania","Zanzibar","3","0","Friendly","Mombasa","Kenya","TRUE"
"1961-10-07","Kenya","Uganda","2","1","Friendly","Mombasa","Kenya","FALSE"
"1961-10-07","Northern Ireland","Scotland","1","6","British Home Championship","Belfast","Northern Ireland","FALSE"
"1961-10-08","Austria","Hungary","2","1","Friendly","Vienna","Austria","FALSE"
"1961-10-08","Republic of Ireland","Czechoslovakia","1","3","FIFA World Cup qualification","Dublin","Republic of Ireland","FALSE"
"1961-10-08","Luxembourg","Portugal","4","2","FIFA World Cup qualification","Luxembourg","Luxembourg","FALSE"
"1961-10-08","Poland","Germany","0","2","Friendly","Warsaw","Poland","FALSE"
"1961-10-08","Romania","Turkey","4","0","Friendly","Bucharest","Romania","FALSE"
"1961-10-08","Yugoslavia","South Korea","5","1","FIFA World Cup qualification","Belgrade","Yugoslavia","FALSE"
"1961-10-12","Argentina","Paraguay","5","1","Friendly","Avellaneda","Argentina","FALSE"
"1961-10-12","Chile","Uruguay","2","3","Friendly","Santiago","Chile","FALSE"
"1961-10-14","Wales","England","1","1","British Home Championship","Cardiff","Wales","FALSE"
"1961-10-15","Denmark","Finland","9","1","Nordic Championship","Copenhagen","Denmark","FALSE"
"1961-10-15","Israel","Italy","2","4","FIFA World Cup qualification","Ramat-Gan","Israel","FALSE"
"1961-10-17","Northern Ireland","Greece","2","0","FIFA World Cup qualification","Belfast","Northern Ireland","FALSE"
"1961-10-18","Belgium","France","3","0","Friendly","Brussels","Belgium","FALSE"
"1961-10-18","Turkey","South Korea","1","0","Friendly","Ankara","Turkey","FALSE"
"1961-10-21","Vietnam Republic","Indonesia","4","1","Vietnam Independence Cup","Saigon","Vietnam Republic","FALSE"
"1961-10-22","Germany","Greece","2","1","FIFA World Cup qualification","Augsburg","Germany","FALSE"
"1961-10-22","Hungary","Netherlands","3","3","FIFA World Cup qualification","Budapest","Hungary","FALSE"
"1961-10-22","Israel","South Korea","1","1","Friendly","Ramat-Gan","Israel","FALSE"
"1961-10-22","Poland","German DR","3","1","Friendly","Wrocław","Poland","FALSE"
"1961-10-22","Sweden","Norway","2","0","Nordic Championship","Gothenburg","Sweden","FALSE"
"1961-10-23","Indonesia","Malaysia","1","3","Vietnam Independence Cup","Saigon","Vietnam Republic","TRUE"
"1961-10-25","England","Portugal","2","0","FIFA World Cup qualification","London","England","FALSE"
"1961-10-26","Vietnam Republic","Malaysia","1","0","Vietnam Independence Cup","Saigon","Vietnam Republic","FALSE"
"1961-10-28","Myanmar","South Korea","3","0","Friendly","Yangon","Burma","FALSE"
"1961-10-29","Bulgaria","Finland","3","1","FIFA World Cup qualification","Sofia","Bulgaria","FALSE"
"1961-10-29","Czechoslovakia","Republic of Ireland","7","1","FIFA World Cup qualification","Prague","Czechoslovakia","FALSE"
"1961-10-29","Mexico","Paraguay","1","0","FIFA World Cup qualification","Mexico City","Mexico","FALSE"
"1961-10-29","Switzerland","Sweden","3","2","FIFA World Cup qualification","Berne","Switzerland","FALSE"
"1961-10-29","Turkey","Norway","2","1","FIFA World Cup qualification","Istanbul","Turkey","FALSE"
"1961-10-29","Uganda","Kenya","2","0","African Cup of Nations qualification","Kampala","Uganda","FALSE"
"1961-11-04","Italy","Israel","6","0","FIFA World Cup qualification","Turin","Italy","FALSE"
"1961-11-05","Malta","Norway","1","1","Friendly","Gżira","Malta","FALSE"
"1961-11-05","Paraguay","Mexico","0","0","FIFA World Cup qualification","Asunción","Paraguay","FALSE"
"1961-11-05","Poland","Denmark","5","0","Friendly","Chorzów","Poland","FALSE"
